yahoo.co.jp, Japan,1
facebook.com, UNITED STATES,2
youtube.com, UNITED STATES,3
google.com, UNITED STATES,4
yahoo.com, UNITED STATES,5
bing.com, UNITED STATES,6
naver.com, KOREA REPUBLIC OF,7
mail.google.com, UNITED STATES,8
mail.live.com, UNITED STATES,9
vk.com, UNITED STATES,10
google.co.jp, Japan,11
craigslist.org, UNITED STATES,12
rakuten.co.jp, Japan,14
google.co.uk, United Kingdom,15
ebay.com, UNITED STATES,16
google.fr, FRANCE,17
fc2.com, CANADA,18
google.de, UNITED STATES,19
ask.com, UNITED STATES,20
amazon.com, UNITED STATES,21
